"Generate in Bulk","Generate in Bulk"
"Save & Send Email","Save & Send Email"
"Gift Card %1","Loyalty Voucher %1"
"Gift Cards","Loyalty Voucher"
"Invalid Request","Invalid Request"
"The session has expired. Please refresh the page.","The session has expired. Please refresh the page."
"Wrong Gift Card code.","Wrong Loyalty Voucher code."
"This Gift Code already exists.","This Gift Code already exists."
"Gift Card was successfully removed.","Loyalty Voucher was successfully removed."
"Specified Gift Card for current user is not found.","Specified Loyalty Voucher for current user is not found."
"Cannot remove gift card.","Cannot remove loyalty voucher."
"The account has been deleted.","The account has been deleted."
"Can't delete account right now. Please review the log and try again.","Can't delete account right now. Please review the log and try again."
"Can't find a account to delete.","Can't find a account to delete."
"Edit Gift Code Account","Edit Gift Code Account"
"A total of %1 Gift Card Account(s) were successfully generated.","A total of %1 Loyalty Voucher Account(s) were successfully generated."
"Something went wrong while generating accounts. Please review the error log.","Something went wrong while generating accounts. Please review the error log."
"Gift Code Accounts","Gift Code Accounts"
"Error occurred while deleting Account with ID %1. Error: %2","Error occurred while deleting Account with ID %1. Error: %2"
"%1 Account(s) has been successfully deleted","%1 Account(s) has been successfully deleted"
"%1 Account(s) has been failed to delete","%1 Account(s) has been failed to delete"
"New Gift Code Account","New Gift Code Account"
"Recipient email is not valid.","Recipient email is not valid."
"The code account has been saved.","The code account has been saved."
"Something went wrong while saving account data. Please review the error log.","Something went wrong while saving account data. Please review the error log."
"You can't send email for inactive account.","You can't send email for inactive account."
"Can't send email. Please make sure that field ""Recipient Email"" is filled.","Can't send email. Please make sure that field ""Recipient Email"" is filled."
"The email has been sent successfully.","The email has been sent successfully."
"Something went wrong while sending email.","Something went wrong while sending email."
"You can't send sms for inactive account.","You can't send sms for inactive account."
"Can't send sms. Please make sure that field ""Recipient Phone"" is filled.","Can't send sms. Please make sure that field ""Recipient Phone"" is filled."
"The sms has been sent successfully.","The sms has been sent successfully."
"Gift Card ""%1"" was added.","Loyalty Voucher ""%1"" was added."
"Gift Card ""%1"" was removed.","Loyalty Voucher ""%1"" was removed."
"Checkout Discounts","Checkout Discounts"
"Amasty Checkout Payment Methods Block","Amasty Checkout Payment Methods Block"
"Input field","Input field"
Dropdown,Dropdown
"Unable to save customerCard with ID %1. Error: %2","Unable to save customerCard with ID %1. Error: %2"
"Unable to save new Customer Card. Error: %1","Unable to save new Customer Card. Error: %1"
"Customer Card with specified ID ""%1"" not found.","Customer Card with specified ID ""%1"" not found."
"Customer Card not found.","Customer Card not found."
"Unable to remove customerCard with ID %1. Error: %2","Unable to remove customerCard with ID %1. Error: %2"
"Unable to remove customerCard. Error: %1","Unable to remove customerCard. Error: %1"
"The ""%1"" command executor isn't defined. Verify the executor and try again.","The ""%1"" command executor isn't defined. Verify the executor and try again."
"The ""%1"" processor executor isn't defined. Verify the executor and try again.","The ""%1"" processor executor isn't defined. Verify the executor and try again."
"Gift Card ""%1"" has already been redeemed for store credit.","Loyalty Voucher ""%1"" has already been redeemed for store credit."
"Gift Card ""%1"" cannot be redeemed for store credit.","Loyalty Voucher ""%1"" cannot be redeemed for store credit."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The gift card couldn't be deleted from the quote.","The loyalty voucher couldn't be deleted from the quote."
"Wrong gift card code","Wrong loyalty voucher code"
"Wrong gift card website","Wrong loyalty voucher website"
"Gift card %1 is expired.","Loyalty Voucher %1 is expired."
"Gift card %1 is used.","Loyalty Voucher %1 is used."
"Gift card %1 is not enabled.","Loyalty Voucher %1 is not enabled."
"Gift card %1 balance does not have funds.","Loyalty Voucher %1 balance does not have funds."
"Gift card can't be applied. Maximum discount reached.","Loyalty Voucher can't be applied. Maximum discount reached."
"Please be aware that it is not possible to use the gift card you purchased for your own orders.","Please be aware that it is not possible to use the Loyalty Voucher you purchased for your own orders."
"Please add this Loyalty Voucher Code to your customer account to proceed.","Please add this Loyalty Voucher Code to your customer account to proceed."
"Unable to generate new accounts. Error: No available codes found for Code Pool with ID ""%1"".","Unable to generate new accounts. Error: No available codes found for Code Pool with ID ""%1""."
"Coupon code ""%1"" cannot be applied to the cart because it does not meet certain conditions.
                        Please check the details and try again or contact us for assistance.","Coupon code ""%1"" cannot be applied to the cart because it does not meet certain conditions.
                        Please check the details and try again or contact us for assistance."
"This gift card account is already in the quote.","This Loyalty Voucher account is already in the quote."
"Gift Card account wasn't found in the quote","Loyalty Voucher account wasn't found in the quote"
"Account with specified ID ""%1"" not found.","Account with specified ID ""%1"" not found."
"Account for specified code ""%1"" not found","Account for specified code ""%1"" not found"
"Unable to save account with ID %1. Error: %2","Unable to save account with ID %1. Error: %2"
"Unable to save new account. Error: %1","Unable to save new account. Error: %1"
